vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords
tfidf,SVD,5,3,False,FCM,142.31899732468597,1.1998014829473773,0.5091778783665739,0.4268929129939518,-0.42335472605080615,"{0: ['adversarial attack', 'adversarial example', 'explainable ai', 'extensive experiment'], 1: ['responsible ai', 'ai development', 'user trust', 'eu ai act'], 2: ['instruction follow', 'llm generate', 'base multi agent', 'fine tune']}"
tfidf,SVD,5,3,False,KMeans,144.51884208686545,1.215889456349605,0.5129066012242303,0.3555661034420707,-0.3753875350962254,"{0: ['instruction follow', 'ai agent', 'llm generate', 'base multi agent'], 1: ['adversarial example', 'adversarial attack', 'explainable ai', 'synthetic data'], 2: ['responsible ai', 'ai development', 'eu ai act', 'user trust']}"
tfidf,SVD,5,3,False,Agglomerative,99.19282063189137,1.2072557040278853,0.4527547950631735,0.4723443600422492,-0.10264689897945521,"{0: ['neural network', 'deep learning', 'adversarial attack', 'adversarial example'], 1: ['base multi agent', 'llm base multi', 'multi agent framework', 'llm agent'], 2: ['ai development', 'ai safety', 'eu ai act', 'data quality']}"
tfidf,SVD,5,4,False,FCM,140.38535694546155,1.1652426517061631,0.5339873619817044,0.3507912644853989,-0.43299663478262795,"{0: ['adversarial example', 'adversarial attack', 'multi agent', 'privacy fairness'], 1: ['responsible ai', 'ai development', 'user trust', 'eu ai act'], 2: ['explainable ai', 'standard contradiction', 'subset selection', 'cross modal'], 3: ['instruction follow', 'llm generate', 'reason model', 'fact check']}"
tfidf,SVD,5,4,False,KMeans,146.07228907198012,1.0143522704705201,0.5454198495136373,0.2889170137428168,-0.46379409017348383,"{0: ['instruction follow', 'base multi agent', 'llm generate', 'chain thought'], 1: ['explainable ai', 'standard contradiction', 'subset selection', 'cross modal'], 2: ['responsible ai', 'eu ai act', 'ethical ai', 'high level'], 3: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve']}"
tfidf,SVD,5,4,False,Agglomerative,105.69357621203557,1.0947243249148717,0.4829979358225419,0.30379613676859185,-0.3454527750000498,"{0: ['instruction follow', 'llm generate', 'detection method', 'large scale'], 1: ['adversarial example', 'adversarial attack', 'privacy fairness', 'network service'], 2: ['ai development', 'ai safety', 'eu ai act', 'data quality'], 3: ['base multi agent', 'llm agent', 'multi agent framework', 'biodsa 1k']}"
tfidf,SVD,5,5,False,FCM,170.7263138256978,0.8787401821306557,0.6100108237584118,0.2862360392414379,-0.36636535468724307,"{0: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve'], 1: ['ai agent', 'base multi agent', 'llm base multi', 'llm agent'], 2: ['explainable ai', 'standard contradiction', 'subset selection', 'convolutional neural network'], 3: ['instruction follow', 'llm generate', 'reason model', 'ground truth'], 4: ['responsible ai', 'ai development', 'eu ai act', 'ai governance']}"
tfidf,SVD,5,5,False,KMeans,171.1296091075977,0.8619869652433574,0.6128433455787895,0.29512257606354014,-0.332873074019584,"{0: ['instruction follow', 'llm generate', 'reason model', 'ground truth'], 1: ['explainable ai', 'standard contradiction', 'subset selection', 'cross modal'], 2: ['responsible ai', 'ai development', 'eu ai act', 'ai governance'], 3: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve'], 4: ['ai agent', 'base multi agent', 'biodsa 1k', 'llm base multi']}"
tfidf,SVD,5,5,False,Agglomerative,140.3101545585033,0.8508111261733134,0.5359131959468865,0.3812205903228269,-0.24122027562816015,"{0: ['responsible ai', 'ai development', 'ai safety', 'eu ai act'], 1: ['adversarial example', 'adversarial attack', 'privacy fairness', 'network service'], 2: ['instruction follow', 'llm generate', 'ground truth', 'chain thought'], 3: ['base multi agent', 'multi agent framework', 'llm base multi', 'biodsa 1k'], 4: ['medical image', 'subset selection', 'cross modal', 'medical imaging']}"
tfidf,SVD,5,6,False,FCM,160.09017316209918,1.0583527326803095,0.5345878079195484,0.2587129183545225,-0.4188592129598347,"{0: ['deep learning', 'standard contradiction', 'uncertainty quantification', 'subset selection'], 1: ['ai agent', 'base multi agent', 'biodsa 1k', 'multi agent framework'], 2: ['instruction follow', 'llm generate', 'chain thought', 'reason model'], 3: ['data quality', 'ai enable', 'global health', 'responsible ai'], 4: ['ai development', 'ai governance', 'user trust', 'eu ai act'], 5: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve']}"
tfidf,SVD,5,6,False,KMeans,157.82229944768872,1.0854510462413518,0.5246004496182748,0.3137725252379328,-0.3953819065670126,"{0: ['instruction follow', 'llm generate', 'chain thought', 'reason model'], 1: ['deep learning', 'uncertainty quantification', 'subset selection', 'cross modal'], 2: ['standard contradiction', 'certification label', 'material discovery', 'ai implementation'], 3: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve'], 4: ['ai agent', 'base multi agent', 'biodsa 1k', 'llm agent'], 5: ['ai development', 'responsible ai', 'eu ai act', 'ai governance']}"
tfidf,SVD,5,6,False,Agglomerative,116.84437295534525,0.8747867469571434,0.42736423519756556,0.3375233627935858,-0.21778894293581907,"{0: ['instruction follow', 'llm generate', 'chain thought', 'reason model'], 1: ['adversarial example', 'adversarial attack', 'privacy fairness', 'network service'], 2: ['responsible ai', 'ai development', 'ai safety', 'ai governance'], 3: ['base multi agent', 'ai agent', 'llm base multi', 'multi agent framework'], 4: ['medical image', 'deep learning', 'subset selection', 'cross modal'], 5: ['llm chatbots', 'risk attitude', 'report risk', 'llm risk decision']}"
tfidf,SVD,5,7,False,FCM,147.04849273329472,1.1728040499394405,0.4695967622503692,0.3160135319504895,-0.388675582386192,"{0: ['standard contradiction', 'subset selection', 'convolutional neural network', 'cross modal'], 1: ['ai safety', 'data quality', 'ai enable', 'global health'], 2: ['detection method', 'semantic entropy', 'shed hd', 'image generation model'], 3: ['instruction follow', 'reason model', 'llm generate', 'mfc bench'], 4: ['ai development', 'user trust', 'responsible ai', 'eu ai act'], 5: ['adversarial example', 'adversarial attack', 'privacy fairness', 'privacy preserve'], 6: ['ai agent', 'base multi agent', 'llm base multi', 'multi agent framework']}"
